Major,Department,Degree Type,URL
Philosophy,Philosophy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Philosophy
Astronomy,Physics and Astronomy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Physics-and-Astronomy
Physics,Physics and Astronomy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Physics-and-Astronomy
Neuroscience,Psychological and Brain Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Psychological-and-Brain-Sciences
Psychology,Psychological and Brain Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Psychological-and-Brain-Sciences
Quantitative Social Science,Quantitative Social Science Program,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Quantitative-Social-Science
Religion,Religion Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Religion
Sociology,Sociology Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Sociology
Hispanic Studies,Spanish and Portuguese Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Spanish-and-Portuguese-Languages-and-Literatures
Romance Studies,Spanish and Portuguese Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Spanish-and-Portuguese-Languages-and-Literatures
Studio Art,Studio Art Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Studio-Art
Theater,Theater Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Theater
"Women's, Gender & Sexuality Studies","Women's, Gender, and Sexuality Studies Program",Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Womens-Gender-and-Sexualities-Studies-Program
